Libro,Autor,Editorial,Paginas,FechaPrimeraPublicacion,Genero,Subgenero,Estado,Tipo
Te doy mi corazón,Julia Quinn,Titania,352,2001-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
The Deal,Elle Kennedy,Piatkus Books,400,2015-01-01,Contemporaneo,Romance,No leído,Serie
The Goal,Elle Kennedy,Piatkus Books,384,2016-01-01,Contemporaneo,Romance,No leído,Serie
The Legacy,Elle Kennedy,Piatkus Books,313,2021-01-01,Contemporaneo,Romance,No leído,Serie
The Mistake,ElleKennedy,Piatkus Books,336,2015-01-01,Contemporaneo,Romance,No leído,Serie
The Score,ElleKennedy,Piatkus Books,384,2016-01-01,Contemporaneo,Romance,No leído,Serie
Un dueto oscuro,V. E. Schwab,Puck,480,2017-01-01,Fantasia,Misterio,No leído,Serie
Una canción salvaje,V. E. Schwab,Puck,410,2016-01-01,Fantasia,Misterio,No leído,Serie
Una corona de huesos dorados,Jennifer L. Armentrout,EDICIONES URANO S.A.,800,2021-01-01,Fantasia,Misterio,No leído,Autoconclusivo
Una obsesión perversa,V. E. Schwab,Puck,384,2013-01-01,Fantasia,Misterio,No leído,Serie
