Libro,Genero,Autor,Editorial,Paginas,Estado,EsSerie,Serie,Volume
La Jangada,Clásico,Julio Verne,RBA Coleccionables,363,No leído,Autoconclusivo,No aplica,
Dos años de vacaciones,Clásico,Julio Verne,RBA Coleccionables,402,No leído,Serie,Extraordinary Voyages,32
A tu lado,Contemporaneo,Kasie West,Puck,284,Leído,Autoconclusivo,No aplica,
P.D. Me gustas,Contemporaneo,Kasie West,Plataforma Neo,343,Leído,Autoconclusivo,No aplica,
Cómo ser toda una dama,Contemporaneo,Katharine Ashe,Ediciones B,398,No leído,Serie,Falcon Club,2
Cinder y Ella,Contemporaneo,Kelly Oram,Oz Editorial,320,Leído,Serie,Cinder & Ella,1
Felices para siempre,Contemporaneo,Kelly Oram,Oz  Editorial,349,Leído,Serie,Cinder & Ella,2
A la caza de Jack el destripador,Misterio,Kerri Maniscalco,Puck,352,No leído,Serie,Stalking Jack the Ripper,1
El oscuro descenso de Elizabeth Frankenstein,Fantasia,Kiersten White,V&R Editoras,346,No leído,Autoconclusivo,No aplica,
Paranormal,Fantasia,Kiersten White,Ediciones B,329,No leído,Serie,Paranormalcy,1
Sobrenatural,Fantasia,Kiersten White,B DE BOOKS,332,No leído,Serie,Paranormalcy,2
Dara & nick  /  Vanishing Girls,Misterio,Lauren Olivier,B DE BOOKS,352,No leído,Autoconclusivo,No aplica,
Panico  /  Panic,Misterio,Lauren Olivier,Ediciones B,384,No leído,Autoconclusivo,No aplica,
La guía de la dama para las enaguas y la piratería,Realismo Mágico,Mackenzi Lee,V&R Editoras,456,Leído,Serie,Montague Siblings,2
La guía del caballero para el vicio y la virtud,Realismo Mágico,Mackenzi Lee,V&R Editoras,450,Leído,Serie,Montague Siblings,1
El Rey Cuervo,Fantasia,Maggie Stiefvater,Ediciones SM,469,No leído,Serie,The Raven Cycle,4
El tercer durmiente,Fantasia,Maggie Stiefvater,Ediciones SM,416,No leído,Serie,The Raven Cycle,3
La profecía del cuervo,Fantasia,Maggie Stiefvater,Ediciones SM,424,No leído,Serie,The Raven Cycle,1
Los saqueadores de sueños,Fantasia,Maggie Stiefvater,Ediciones SM,496,No leído,Serie,The Raven Cycle,2
Antes de diciembre,Contemporaneo,Marcus Joana,SUDAMERICA,496,No leído,Autoconclusivo,No aplica,
Despues de diciembre,Contemporaneo,Marcus Joana,SUDAMERICA,432,No leído,Autoconclusivo,No aplica,
Karma al instante,Contemporaneo,Marissa Meyer,V&R Editoras,519,No leído,Autoconclusivo,No aplica,
Archienemigos,Ciencia Ficción,Marissa Meyer,V&R Editoras,491,No leído,Serie,Renegades,2
Cinder,Ciencia Ficción,Marissa Meyer,V&R Editoras,416,Leído,Serie,The Lunar Chronicles,1
Cress,Ciencia Ficción,Marissa Meyer,V&R Editoras,584,Leído,Serie,The Lunar Chronicles,3
Fairest,Ciencia Ficción,Marissa Meyer,V&R Editoras,184,Leído,Serie,The Lunar Chronicles,3
Heartless,Fantasia,Marissa Meyer,V&R Editoras,582,No leído,Autoconclusivo,No aplica,
Renegados,Ciencia Ficción,Marissa Meyer,V&R Editoras,584,No leído,Serie,Renegades,1
Scarlet,Ciencia Ficción,Marissa Meyer,V&R Editoras,432,Leído,Serie,The Lunar Chronicles,2
Stars Above,Ciencia Ficción,Marissa Meyer,V&R Editoras,344,Leído,Serie,The Lunar Chronicles,4.5
Supernova,Ciencia Ficción,Marissa Meyer,V&R Editoras,602,No leído,Serie,Renegades,3
Winter,Ciencia Ficción,Marissa Meyer,V&R Editoras,856,Leído,Serie,The Lunar Chronicles,4
Wires and Nerve: Volume 1,Novela Gráfica,Marissa Meyer,V&R Editoras,240,Leído,Serie,Wires and Nerve,1
Wires and Nerve: Volumen 2,Novela Gráfica,Marissa Meyer,V&R Editoras,336,Leído,Serie,Wires and Nerve,2
